quote,topic_main,topic_additional,interview_location,migration_type,age_group,birth_location,gender
"But the best part, in my opinion, is that they are the best. So I went in first, then I called my dad. I said, Dad, I'm working, I'm working. Where did you start? At the gas station. My daughter, get out of the gas station, what are you doing there? He said. He said men fight there, there's trouble there. You can't do that there, get out. Dad, I said, that's not the case, you don't fill it up yourself with the pump. The guys fill it up themselves. They just come in, pay the fee. If they eat something, you serve them, I said. No, daughter, no, get out of the gas station, find another job, he said. No, Dad, I said, I'm very happy with my job, my boss, everything. Why should I leave? It's a very comfortable job. Like I said, that's how it is... In fact, when I first came here, my friends would always tease me, like, “Are you working at a gas station?” I'd say, “Honestly, I am, but it's like being a civil servant or something. I don't have anything else.”",Economic,Work/employment,Turkey,return,30-39,Turkey,Female
"INT: So you started a company there. Is it easy to start a company as a woman there? MIG: Yes, it's very easy as a woman. Because the government is always on your side, on the side of women, like that. So that there's a contribution here, a name, something like that. Because women do more things... We went with them, we agreed. We did it monthly or weekly. Or, I said, it was done every day. Then what did we do? Then we hired two workers, depending on the size of the thing, the size of the office or the car dealerships, the showrooms, and we adjusted accordingly. We told them, you'll go at this time, you'll leave at this time, that sort of thing. Then they would take their things. All of our employees had cars, they had things, what's it called, they had licenses. We always paid for their gas, their monthly salary and so on. They would go and clean, then come back. Then, after we calculated everything, they would always send the money to the IBAN. When the month came, we would always share it and give it to the workers. It was really nice, actually. It still is. When I came here, my friend was still running it. He quit during that time. Because, you know, they slowly grew old. Then I said to myself, if I'm running this cleaning company there, why don't I do it in Turkey?...",Economic,Work/employment,Turkey,return,30-39,Turkey,Female
"After that, I went to my last language course, and after that last language course, I thought, I'll go to a vocational high school. I went to vocational high school. I finished that vocational high school at a company. So I didn't do anything. There are 3 or 4 years of work at a company there. So the equivalent here is actually an apprenticeship. I ended up doing an apprenticeship. I enrolled in an engineering school. That school was also five years. I dropped out of that school too. So I didn't finish the five-year program, but I went to different schools for a couple of years, two or three years. To be honest, I dropped out of every school I went to. Why did I drop out? I was really going to work, I was working, and I was also lacking in language skills, and also, work was a bit more important to me, so I didn't go to school. For example, I was working now. Because of the salaries I was getting from there and my work situation there, because of my life, I inevitably slowed down my school life, but there was still something inside me saying I should go. So, I enrolled in maybe five schools. That's why I enrolled in different ones. I enrolled in different schools like technical academies and technical high schools.","Social, Economic","Education, Language barriers, Work/employment",Turkey,return,40-49,Turkey,Male
"So I worked for six months and then took six months off. I had children, and I had no one to look after them... I was sending them to daycare. My hours didn't match up with the work hours. So we managed like that for 6 months, doing something. Then I would leave work again... Or I couldn't work, so I would leave. That was also partly because I was sick.","Social, Economic","Work/employment, Health",Turkey,return,50-59,Turkey,Female
"Honestly, let me put it this way. If you're a worker, if you're working, go to Europe; if you're an employer, if you have a certain amount of capital, go to Turkey. Now, this isn't something I did because I really wanted to. I mean, those who come from there, after meeting certain conditions and gaining economic freedom, say, “Why should I stay in this open prison?” So I go to Turkey and try my luck. Anyway, whatever you do there (phone rings) anyway, in Europe generally, there's no distinction between rich and poor. Everyone has a standard income, more or less. The state takes care of things, and good people manage somehow.","Social, Economic",Work/employment,Turkey,return,40-49,Turkey,Male
"For example, trade. I mean, I still haven't been able to do anything in that direction here. It's not that I don't want to. I haven't been able to because I'm observing. I mean, I'm looking at people, how things work, what the infrastructure is like, who you can trust, who you can't trust. Let's just say I'm checking that out right now. I'm making plans, but trade in Turkey is really different. It's not like it is there, you understand. That's why you have to be careful. Of the 10 percent who come, let's say 10 out of 100, for example. Let's say there are 10 people here. Believe me, 7 or 5 of them regret it. They've gone back. Of the remaining five, two or three want to return but have lost that right. Their visas have expired. They can't return. That's the situation. Everyone wants to return. But when they do return, they face many problems because they cannot integrate into the system here. I can say quite clearly that people in Turkey are very cruel in this regard. They are very merciless. They can reduce this man to nothing in a year.","Social, Economic","Integration, Work/employment, Motivations to migrate",Turkey,return,40-49,Turkey,Male
"My brother-in-law's cousins were there. I said, “We're here, what are we going to do?” They described a house to us. There was no house, just one room with 3-5 people in it. So we went there. We'll look for work. No language, no work. A place where Turks work. I want to have a Turkish friend there so I can work alongside him. They arranged a job for us. We went to work privately like that. Later, they said that in order to be a worker like that, you had to get married... We knew nothing... I'm an auto electrician, but I don't speak the language to go to the factory. Construction. I didn't know much about construction. I became a construction worker there. They found a company, and we go back and forth. There's no insurance or anything. Later, we found an agent...","Social, Economic",Work/employment,Turkey,return,60-69,Turkey,Male
"Working was like this. The children came one after another. I had a daughter. My daughter was one and a half years old. Then I had a son. They came one after another. I raised them like twins. After that, I raised them both, and just as I was saying they were getting out of hand, I was taking them to kindergarten. The hours were long there too. I took them at 8:30. They were there until 4:00. I was available. I thought I'd work... The hours were long. I wanted to work, but as I said, my husband always stood in my way. He didn't want me to.","Social, Economic",Work/employment,Turkey,return,30-39,Turkey,Female
"Jobs usually require Spanish. I even tried, I was on a trial period at such a large real estate firm, but there was that condition that Spanish was necessary, so…",Economic,"Language barriers, Work/employment",Spain,permanent,45-64,Poland,Female
"I believe that Spain is not inclined to cooperate and that Poland does not care at all, because Poland, for example, as you know, does not mind that we have other nationalities; it is not of concern to them. Your Polish nationality will not be taken away from you; it could only be revoked by the President of Poland if you request it.",Social,"Discrimination, Integration, Belonging",Spain,permanent,35-44,Poland,Female
"In Poland, we're really going all out; we don't let newcomers stay, we want to kick them all out. You know, that's pretty harsh, right? I mean, I'm not a politician, so I don't really know, but this immigration thing has become a huge topic, a huge topic; it's the big issue for politicians.",Economic,Discrimination,Spain,permanent,45-64,Poland,Male
"I mean I will always be Polish, but I have definitely been influenced by the culture, society, and life here",Social,"Integration, Belonging",Spain,permanent,45-64,Poland,Female
"you notice the sheer number of people buying properties here in Spain, especially in this sun-drenched epicenter, and they tend to be somewhat more affluent.",Economic,"Housing, Future migration plans",Spain,permanent,35-44,Poland,Female
"In Poland, wealthy individuals often buy apartments in areas of Alicante. I know this because there are direct flights from Warsaw to Alicante, and Warsaw is a capital city where people can earn a lot.",Living environment,"Housing, Motivations to migrate",Spain,permanent,35-44,Poland,Male
"Brexit has had an impact on this, because it allowed for such movements. Previously, Poles were going to England, to Ireland, and so on. Those who were in England, if they wanted to return, then they indeed returned.",Economic,"Legal barriers, Future migration plans",Spain,permanent,35-44,Poland,Female
"My parents receive pensions. They are independent, and my brother runs his own business.",Economic,Income,Spain,permanent,35-44,Poland,Male
"[Polish migrants] starting to earn money here [in Spain], doing well, and realizing that it's not just about coming to work but actually living quite well. They began to attract their families, who then moved here too. This was quite common, especially at the beginning of the 2000s to 2010, on the Costa del Sol, where there were many Polish groups.",Economic,"Income, Integration, Work/employment",Spain,permanent,45-64,Poland,Female
"The Polish community we have here now is somewhat different because, due to the presence of the university and the vibrant life around it, most of the Polish community consists of people with higher education.",Economic,"Education, Work/employment, Future migration plans",Spain,permanent,45-64,Poland,Female
"The main reason, of course, was love, as my partner lives here in Madrid. We also met through my family, who has lived here for many years. After the pandemic, we decided that if we ever faced another six-month winter again, we should live together in the same place.",Social,"Integration, Motivations to migrate, Belonging",Spain,permanent,35-44,Poland,Male
"Well, many of these people are working remotely and choosing to live here in Spain. They say things like, 'Look, I can live here, my kids are learning the language, I get sunshine 360 days a year.' Life here is different; it feels more relaxed and calm, far from the tensions of war and political unrest.",Living environment,"Education, Integration, Language barriers, Nature, Work/employment, Motivations to migrate",Spain,permanent,45-64,Poland,Female
"Apartments here are even cheaper than in Poland. You can buy a house here while in Poland you can only buy an apartment. So, this is definitely a plus... Plus, there's great weather and peace of mind, which is wonderful",Economic,"Housing, Nature, Health, Motivations to migrate",Spain,permanent,35-44,Poland,Male
"Just imagine that someday my brothers—one will turn 18 very soon, and the other in two years—will be told, 'Hey, we have to go to Military. Yes, it's about creating an army, right? Ultimately, many people in Poland are very afraid of that. There may also be young people wanting to leave Poland to avoid this recruitment",Living environment,Motivations to migrate,Spain,permanent,35-44,Poland,Male
"If Poland tries to recruit me to go to the front, I will indeed make it [Spanish nationality] so that the Spanish government does not hand me over to the front in Poland through the Mossos Esquadra,",Social,"Integration, Legal barriers, Motivations to migrate",Spain,permanent,35-44,Poland,Male
"Well, if they were same-sex couples, I can't even begin to describe it, because there [in Poland], neither civil partnerships nor marriages for same-sex individuals are allowed. These individuals often felt very overwhelmed by the political climate.",Social,"Discrimination, Legal barriers, Motivations to migrate",Spain,permanent,45-64,Poland,Female
"They have the advantage that they have such nice weather here, while in Poland it's nice for two months a year, sometimes three, if luck has it, and then there is such grayness, all those nice places, are closed, covered in snow",Living environment,"Nature, Health, Motivations to migrate",Spain,permanent,45-64,Poland,Male
"As for apartments, it seems to me that this may be related to occupation and the laws in place here, as owners are somewhat hesitant to rent to unverified individuals, or even to rent without the mediation of companies that handle these matters.",Living environment,"Discrimination, Housing",Spain,permanent,35-44,Poland,Female
"I have the impression, at least for me, that it would be easier for me to find a new job in Poland than in Spain. I have the impression that the job market in Spain is worse, making it more difficult to find a job than in Poland",Economic,Work/employment,Spain,permanent,35-44,Poland,Female
